Country,Estimate,Median download speed (Mbit/s)(Ookla),2016,Rate,% of GDP,2021 data ,2020,Ages 25-34: % equivalent to a degree course lasting at least: :2 years,Yes important,% Christian,Muslim percentage of total population,% Buddhist,pct,2020 mortality rate under-5 (per 1000 live births),Age reduced,Annual Nominal US$,% of GDP.1,%,2018,All,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Pct,median 2018 Combined,Score,Oil production April 2022 (bbl/day),UN 2015-20,Life expectancy at birth All,kg/person (2002),Rates per 100000,Elderly (65+) rate,Women,(% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,kilocalories,Average yearly temperature (1961-1990 Celsius)
Ireland,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Isle of Man,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,0.0,,,,,,,,,
Israel,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Italy,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Ivory Coast,0.0,0.0,1.0,,,0.0,0.0,,,,1.0,,,1.0,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0
Jamaica,0.0,0.0,0.0,1.0,,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,,0.0,1.0
Japan,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Jersey,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,0.0,,,,,,,,,
Jordan,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kazakhstan,1.0,0.0,1.0,1.0,,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Kenya,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Kiribati,0.0,,0.0,1.0,,0.0,,,,,0.0,,,1.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0
Kosovo,0.0,0.0,,0.0,,,,,1.0,,1.0,,,,1.0,0.0,0.0,0.0,,,0.0,,,,0.0,1.0,,,,,0.0,,,,,,,,,
Kuwait,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0
Kyrgyzstan,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0
Laos,0.0,0.0,1.0,,,0.0,0.0,,,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Latvia,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Lebanon,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,0.0
Lesotho,0.0,,0.0,1.0,,0.0,1.0,,,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0
Liberia,0.0,,0.0,1.0,,0.0,0.0,,,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0
Libya,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0
Liechtenstein,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,0.0,,,1.0,,0.0,,,,0.0,,,1.0,1.0,,,0.0,,,0.0,,1.0,0.0,0.0,,1.0,,,0.0
Lithuania,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Luxembourg,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Macau,1.0,1.0,,0.0,,,,,,,0.0,1.0,,,,1.0,,0.0,,,0.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,0.0,,0.0,1.0,,,
Madagascar,0.0,0.0,0.0,,,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Malawi,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Malaysia,1.0,1.0,0.0,0.0,,1.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0
Maldives,1.0,,0.0,0.0,,1.0,,,,0.0,1.0,1.0,,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,,0.0,1.0
Mali,0.0,,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Malta,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0
Marshall Islands,0.0,,,1.0,,0.0,,,,,0.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,0.0,0.0,,,0.0,,,0.0,1.0,0.0,1.0,,,0.0,,,1.0
Martinique,,,,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.0,,,
Mauritania,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,1.0,1.0
Mauritius,1.0,,0.0,0.0,,1.0,1.0,,,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0
Mayotte,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,
Mexico,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Micronesia,0.0,,0.0,0.0,,0.0,,,,1.0,0.0,1.0,,1.0,,,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,1.0,,,1.0,,,1.0
Moldova,0.0,1.0,1.0,1.0,,1.0,1.0,,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,0.0
Monaco,1.0,1.0,,0.0,,,,,,1.0,0.0,,,0.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,0.0,,,0.0,,1.0,0.0,,,1.0,0.0,,0.0
Mongolia,0.0,0.0,1.0,1.0,,1.0,1.0,,,0.0,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0
Montenegro,1.0,0.0,1.0,0.0,,1.0,1.0,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,0.0
Montserrat,1.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,
Morocco,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0
Mozambique,0.0,,0.0,1.0,,0.0,0.0,,,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0
Myanmar,0.0,,0.0,1.0,,0.0,0.0,,,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0
Namibia,0.0,,1.0,1.0,,0.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0
Nauru,1.0,,0.0,,,,,,,,0.0,1.0,,1.0,,,0.0,,1.0,,,,1.0,0.0,0.0,,,0.0,,,0.0,,0.0,1.0,,,0.0,,,
Nepal,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0
Netherlands,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Netherlands Antilles,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
New Caledonia,1.0,,,1.0,,,,,,,1.0,1.0,,,,,0.0,,,,0.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,
New Zealand,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Nicaragua,0.0,,0.0,1.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0
Niger,0.0,,1.0,1.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Nigeria,0.0,,1.0,1.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Niue,,,1.0,,,,,,,,0.0,,,,,,0.0,,1.0,,,,1.0,0.0,,,,,,,,,,,,,,,,
North Korea,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
North Macedonia,0.0,0.0,1.0,0.0,,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,0.0
Northern Mariana Islands,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,0.0,,,
Norway,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Oman,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0
Pakistan,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Palau,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,1.0,,0.0,,1.0,,1.0,,,0.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0
Palestine,0.0,,,0.0,,0.0,0.0,,,,1.0,0.0,,,,1.0,0.0,,,,1.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,
Panama,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Papua New Guinea,0.0,,0.0,1.0,,0.0,1.0,,,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0
Paraguay,0.0,0.0,1.0,1.0,,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Peru,0.0,0.0,0.0,1.0,,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Philippines,0.0,0.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Poland,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Portugal,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Puerto Rico,1.0,,,1.0,,,,,,1.0,0.0,1.0,0.0,,,,1.0,,,,0.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,0.0,,,
Qatar,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,1.0,0.0,,1.0
Republic of the Congo,,,,,,0.0,0.0,,,1.0,,0.0,,,,0.0,1.0,,,,,,0.0,,0.0,0.0,1.0,,0.0,0.0,,,,,,,0.0,,0.0,1.0
Romania,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Russia,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Rwanda,0.0,,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,,,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
Réunion,,,,0.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,0.0,0.0,,
Saint Helena,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,
Saint Kitts and Nevis,1.0,,1.0,1.0,,1.0,,,,,0.0,,,0.0,,1.0,0.0,,1.0,,0.0,,1.0,1.0,1.0,,,0.0,,1.0,1.0,,1.0,0.0,,0.0,1.0,,0.0,1.0
Saint Lucia,1.0,0.0,1.0,1.0,,0.0,,,,,0.0,,,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,,0.0,1.0
Saint Martin,1.0,1.0,,0.0,,1.0,,,,1.0,0.0,,,0.0,1.0,1.0,0.0,,1.0,,0.0,,,0.0,1.0,,,0.0,,,1.0,,1.0,0.0,,,1.0,,,0.0
Saint Pierre and Miquelon,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.0,,,
Saint Vincent and the Grenadines,1.0,0.0,1.0,1.0,,1.0,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0
Samoa,0.0,,0.0,1.0,,0.0,,,,,0.0,,,1.0,,0.0,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,1.0
San Marino,1.0,1.0,,0.0,,1.0,,,,1.0,0.0,,,0.0,1.0,1.0,0.0,,1.0,,0.0,,,0.0,1.0,,,0.0,,,0.0,,1.0,0.0,,,1.0,,,0.0
Sao Tome and Principe,0.0,,1.0,1.0,,0.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,1.0
Saudi Arabia,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,1.0
Senegal,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,1.0
Serbia,1.0,0.0,1.0,0.0,,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Seychelles,1.0,,1.0,1.0,,1.0,,,,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,,1.0
Sierra Leone,0.0,,0.0,0.0,,0.0,0.0,,,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,1.0
Singapore,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,,1.0
Sint Maarten,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,1.0,,,,,,,,,
Slovakia,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0
Slovenia,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0
Solomon Islands,0.0,,0.0,1.0,,0.0,,,,,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,1.0
Somalia,0.0,,0.0,,,,,,,0.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,0.0,1.0,1.0,,0.0,,,1.0
South Africa,1.0,0.0,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
South Korea,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
South Sudan,0.0,,,1.0,,0.0,,,,0.0,1.0,,,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,,,
Spain,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
